feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.1526047542275456,0.08905693740054724,-0.008854810887220867,0.060990290733387575,-0.05728808618162237
Betweenness Centrality,0.10428525673295597,0.284865697480421,0.10221950991057184,0.1323735317898972,0.26729592428522175
Leverage Centrality,0.10600760262016773,0.20508547228619367,0.07057607820525032,0.3819751708986858,-0.4551187068018801
Isolating Centrality,0.017548849672474776,-0.043759386745003126,0.6816046253100817,-0.11718032657342548,-0.03599821387815583
GSM,0.14983923668077376,-0.1284112249600204,0.005139714491240885,0.01693823007271375,0.0841377089280748
H-GSM_1,0.1199569797231036,0.273228741373658,-0.0556794051594669,-0.21677393813234472,0.21148878221456308
Local-Global Centrality,0.15144989521258967,0.11661751743105148,-0.018368199875781976,-0.01618077813561173,0.02596393113624293
PageRank Centrality,0.1431124295506185,0.16829913846479022,0.02513925323616338,0.1360020718459601,-0.1416261972947256
Coreness Centrality,0.1552808208006155,-0.00830682407980371,-0.003938725554656982,-0.047946736324183295,-0.06597469240936889
Extended Coreness,0.15271127307774485,-0.09036964025229322,0.004665593097331634,-0.0551917613364952,-0.04995505354122563
Global Relative Change in Avg Degree,0.1499777455311979,0.12553071321566453,0.01142509632639559,-0.0192642014537931,-0.038848952177064855
Global Relative Change in Avg Clustering,0.010236623990314499,0.004147574191175657,0.6980888671236223,-0.08492748131743029,0.12086368530195409
Clustering Coefficient,-0.09455310463016693,-0.21382885139670038,-0.11780064787473997,-0.6014280852607179,0.003194818596512619
DIL Centrality,0.13765245000900606,0.16574508847345928,-0.006399760889977921,0.1283271288905028,0.05629085378690512
I-GSM Values,0.15547584813181334,0.0023393828868445835,-0.019928441750276388,-0.04210156666829417,0.06825234205465974
Clustered Local Degree,0.14319745038456927,-0.18883951695821097,-0.026285091641261513,-0.06986714346912878,-0.07000234062000946
Gravity Index Centrality,0.15186873976201684,-0.08624747576832138,0.014382723471806693,-0.07810700713216517,-0.12325941995837188
Gravity Model Centrality,0.15100573742016626,0.11908565501330678,-0.0214122226402529,-0.06486851948224423,0.0379270079488596
Local Gravity Model Centrality,0.1471895196668363,0.15220804432761847,-0.028279161194223176,-0.11762175783365378,0.0485625046963444
Laplacian Centrality,0.15317428708818312,0.08338527532840895,-0.024912567961943317,-0.06160029582688567,0.04195168227868522
Closeness Centrality,0.14618870913429227,-0.11829671318456161,0.007308568591914334,0.08962931661815748,0.24146580836735732
Semi local centrality,0.15309949242506118,-0.09318075634404961,-0.005441051095549125,-0.035388123460890056,-0.010131106037409868
Eccentricity Centrality,0.11639158522267216,-0.15754849203323087,0.05656486038314263,0.13138072991163866,-0.012095482054367262
Density Centrality,0.1463391376163673,0.1637417052542713,-0.026770035431208674,-0.06395197349172127,0.08073778914777056
MDD Value,0.15423512611910672,0.009490874866022183,-0.005937858476921289,0.022062469357222027,-0.09723567762250183
EHCC Value,0.15525519708735613,-0.037576188342421886,-0.016378477152566594,-0.03996397861654322,-0.021536178274792386
HCC Value,0.14522973146277127,-0.17549188602590046,-0.009744955002102332,0.05823143556946709,0.005223384461436595
P Value,0.13316517489706195,-0.24619987882755853,-0.008732816499182597,0.10246881838673538,0.02844605113459875
Extended Degree,0.15480412155918807,-0.058317593515896375,-0.01061220924508001,-0.00575156446711525,-0.02962220562620098
Eigenvector Centrality,0.15222459232726077,-0.0848981430735753,0.008600283959020152,-0.07905332693296388,-0.05595691397313161
CLC Values,0.1539004266386913,0.06359534783972128,0.004800403650718716,0.013205690613527025,0.05858270093480498
Centrality Values,0.15533334009091732,0.01435780719843794,-0.021062965161482906,-0.015476574100928887,0.013736486176874837
Constraint Coefficients,0.13063752718570143,-0.16435008971618742,-0.024238817861427002,0.3127840498984367,0.10423711174911947
HVGc Index,0.1520431687336203,0.05645690010848538,-0.007520943707794206,-0.14359296139008376,-0.06950267684201368
PE Values,0.15541724647234292,0.011340657787722848,-0.02308457193255414,-0.0027331931580250046,0.013741908124466866
H Values,0.14905057143531986,0.1046087529471153,-0.022155715080377007,-0.16980857174566313,-0.027504798423388113
Volume Centrality,0.10214381897260345,-0.28736418991247764,-0.01214972249001651,0.159390176005893,0.47502802915278397
GIN Values,0.1542809940237465,-0.02367423687945012,-0.014599432989102797,0.007052380287933722,0.14012729426905524
LGC Scores,0.1487293797925885,0.12876256238098344,-0.03123113813155299,-0.1359932150534572,0.06503622825626675
DNC Scores,0.1509610042727693,0.1096808438035486,-0.0043818384708764506,0.06552241409837063,-0.0648303481416642
EIGSM Values,0.15387549053359456,-0.07873995008538534,-0.004903028007079417,-0.0321523984781773,-0.02090560361613729
Societal Capital Scores,0.15457190036924562,-0.06429564537990631,-0.01066278810894086,-0.008501997701747992,-0.02841526031735926
Improved Gravity Index Values,0.14929400724424108,-0.1235499044438221,0.01750085754521267,-0.06796478649157726,-0.13280171205255512
Extended Improved Gravity Index Values,0.15306182936418825,-0.07144285971206293,0.008853141817762524,-0.0803952730402719,-0.056871656795032845
Node H-Index,0.1370389867720849,-0.19501678750030282,0.02859646369351824,-0.016073761795938717,-0.2574530068819997
MCGM Values,0.15452729206434612,0.028148893921526207,-0.007552199724166154,-0.10738417495927602,-0.035588047239826545
GGC Values,0.13529530408255758,0.2352238588396397,-0.02396138557524257,-0.05005531632116572,0.1607545042530431
Subgraph centrality,0.15064244856528286,0.0613664154906289,-0.012080597797154154,-0.16856291376271587,-0.07253519448772461
Second order centrality,0.13295468794068488,-0.21615283383426379,-0.02301809790803219,0.14908533341742244,0.19540476179557004
K-Shell Value,0.1366725500307549,-0.19703049511412454,0.02063480302725078,-0.03757113264796661,-0.27401033387728246
