Node,Relative Closeness,Rank
315,0.019947727932921894,1.0
346,0.01825474654107566,2.0
109,0.015896776663164858,3.0
911,0.007719940994680902,4.0
82,0.00685220164274255,5.0
219,0.006557226843641158,6.0
327,0.006305875520844088,7.0
1343,0.006282997852405062,8.0
1056,0.006262811139681616,9.0
1234,0.004985679717478667,10.0
230,0.004782229996301358,11.0
537,0.004359907831405796,12.0
189,0.004066699268841874,13.0
658,0.003969972679449186,14.0
92,0.0039019408902525436,15.0
175,0.0038855498402637,16.0
1155,0.003858765160859966,17.0
1131,0.00375358558827146,18.0
1167,0.00358803180117348,19.0
610,0.0035570029427761597,20.0
419,0.0035566539441185107,21.0
504,0.003533769210665382,22.0
244,0.0034813902156890764,23.0
1105,0.0033457470072712813,24.0
363,0.003300438796827859,25.0
106,0.0033004046156943265,26.0
1360,0.003249626587223039,27.0
151,0.003230994723120963,28.0
462,0.0031980869269879666,29.0
121,0.003157084228045019,30.0
666,0.0030558799328254446,31.0
689,0.0028922552855500357,32.0
1400,0.0028866116749501824,33.0
55,0.0028478877431047543,34.0
218,0.0028386170608262432,35.0
805,0.0027072545160998565,36.0
345,0.0026796891464106647,37.0
188,0.0025318963111683303,38.0
456,0.0024985450770889637,39.0
1095,0.002480721554976236,40.0
1182,0.0024655476531398528,41.0
1340,0.002463798169694085,42.0
754,0.0024569855778654908,43.0
62,0.002429710934538145,44.0
512,0.0023563440056219445,45.0
800,0.0022465144663857245,46.0
534,0.0022249879742476625,47.0
256,0.0022243587464728575,48.0
1312,0.002222805955483543,49.0
251,0.0021822307061905894,50.0
431,0.002166786782448719,51.0
561,0.002153290616909333,52.0
433,0.002142248992922439,53.0
86,0.00213432080121103,54.0
1292,0.0021213823599736713,55.0
719,0.002107276938379487,56.0
1287,0.0021067212885958653,57.0
104,0.002085951420634572,58.0
325,0.002084603885823903,59.0
107,0.0020686184591524994,60.0
274,0.001997659462100074,61.0
100,0.0019904062132853613,62.0
236,0.0019903037556733747,63.0
574,0.0019373148289563579,64.0
1060,0.0019317363608478558,65.0
412,0.001919361210346917,66.0
170,0.0018723788638418469,67.0
356,0.001810065603631598,68.0
161,0.0017922100818492212,69.0
201,0.0017700677682952707,70.0
1151,0.0017505116314331885,71.0
858,0.0017500860151320814,72.0
357,0.00173766775410439,73.0
232,0.0017327744063235157,74.0
470,0.0017274670192540505,75.0
1289,0.0017159858686638869,76.0
684,0.0016944546816287124,77.0
518,0.0016874859072459226,78.0
279,0.0016849805132154575,79.0
197,0.0016816910036775224,80.0
311,0.0016776298345418227,81.0
19,0.0016629473571924003,82.0
608,0.0016580360870048821,83.0
59,0.0016516626646493732,84.0
425,0.001642468799522111,85.0
235,0.0016293742428100104,86.0
1225,0.0016091261123431697,87.0
541,0.0016007743779995558,88.0
718,0.0015959078900635792,89.0
1200,0.0015921508678670283,90.0
865,0.0015909557468291665,91.0
1173,0.0015509969956100215,92.0
1121,0.0015409306440432174,93.0
675,0.0015161595926385216,94.0
240,0.0015023150882565988,95.0
102,0.001492674903544416,96.0
701,0.0014832864788526694,97.0
359,0.00147829193113995,98.0
1192,0.001474921248458955,99.0
1379,0.001474682352183951,100.0
1104,0.0014703798640324556,101.0
50,0.001463184705484944,102.0
1019,0.0014177478278628404,103.0
134,0.0014117243298154847,104.0
1412,0.0014102397101133793,105.0
545,0.001390273700899547,106.0
186,0.0013888930078146836,107.0
1115,0.001375405975993249,108.0
677,0.0013643184109045322,109.0
243,0.0013534332791739984,110.0
1186,0.0013472184076740853,111.0
8,0.0013428759046049499,112.0
498,0.0013411874298144386,113.0
1174,0.001338371902394293,114.0
391,0.0013278473826157135,115.0
375,0.0013144036539454761,116.0
336,0.001310165897928401,117.0
871,0.0013086147471638898,118.0
615,0.0012950222281271936,119.0
1293,0.0012860959336361626,120.0
65,0.0012750214518282223,121.0
69,0.0012704726864205043,122.0
461,0.0012676379743906607,123.0
435,0.001264655352698151,124.0
1123,0.0012613307152256666,125.0
303,0.0012539109480283282,126.0
748,0.0012464542767930845,127.0
44,0.0012411210295619622,128.0
482,0.0012298803369621956,129.0
1141,0.0012112495614166694,130.0
1331,0.0012047451841563368,131.0
1209,0.0012033842680909332,132.0
147,0.0011926987036511843,133.0
319,0.0011895498712059217,134.0
252,0.0011843619693356622,135.0
1224,0.001184051835291453,136.0
1242,0.001181464299754992,137.0
316,0.001175814686118725,138.0
729,0.0011748815998862256,139.0
1317,0.0011707213962210555,140.0
1135,0.0011688153662300577,141.0
34,0.0011607428839762839,142.0
910,0.0011590056395407082,143.0
691,0.001155418075411115,144.0
335,0.0011516195647428217,145.0
544,0.001148818372964228,146.0
1452,0.0011404439448684325,147.0
193,0.0011369266576999495,148.0
260,0.001135718779687394,149.0
338,0.0011354230585100588,150.0
1403,0.0011319271568377986,151.0
138,0.0011295053173911614,152.0
42,0.0011218218235809155,153.0
659,0.0011168427124300033,154.0
1198,0.0011163557599084388,155.0
746,0.0010893522052647826,156.0
1320,0.0010834790045757066,157.0
1166,0.0010829435822692574,158.0
678,0.0010790116031415414,159.0
540,0.001071161334120423,160.0
103,0.0010619425447481495,161.0
1181,0.0010475126262133225,162.0
323,0.0010401079201059708,163.0
576,0.0010290876731947028,164.0
1376,0.0010252677377374378,165.0
1322,0.001019053847122141,166.0
98,0.001016669254095436,167.0
629,0.0010102884319652381,168.0
320,0.001002456119135678,169.0
164,0.0010016208419128584,170.0
407,0.0010010904541233115,171.0
1185,0.000998562643008242,172.0
761,0.0009978205178716021,173.0
1489,0.0009967904301454013,174.0
