feature,score,rank
Eccentricity Centrality,0.038956139160701786,1
Second order centrality,0.03050697529782477,2
Closeness Centrality,0.026363054555040857,3
Betweenness Centrality,0.016677902540164834,4
Eigenvector Centrality,0.015932885682879608,5
GIN Values,0.01210897249684349,6
GSM,0.011907805376310143,7
H-GSM_1,0.00868765858645553,8
H Values,0.008086592385969284,9
Volume Centrality,0.007574993062551117,10
Extended Improved Gravity Index Values,0.005877849665221717,11
Semi local centrality,0.005685206426764488,12
I-GSM Values,0.005281577259257237,13
P Value,0.005258670936570366,14
Clustered Local Degree,0.0041789217297600895,15
MCGM Values,0.003939629349574724,16
Extended Coreness,0.0036068290995890494,17
Centrality Values,0.0034935326313418223,18
Coreness Centrality,0.003421402540946914,19
HCC Value,0.003022828420017631,20
EHCC Value,0.0029170693399037167,21
EIGSM Values,0.0026771104743830935,22
Leverage Centrality,0.0022089359117365404,23
PE Values,0.0021106793715896643,24
Societal Capital Scores,0.002011917308579767,25
LGC Scores,0.0019729257007224882,26
Extended Degree,0.0014982117818007593,27
HVGc Index,0.0014519627213911254,28
Improved Gravity Index Values,0.0011255457912379041,29
MDD Value,0.0010311473863705305,30
Laplacian Centrality,0.0009229556586507215,31
Gravity Index Centrality,0.0009130430555595645,32
Local-Global Centrality,0.0008718386199106414,33
Gravity Model Centrality,0.0008340057558148003,34
Local Gravity Model Centrality,0.0007854219240014162,35
GGC Values,0.0007322265182143863,36
Isolating Centrality,0.0005743846361703994,37
PageRank Centrality,0.0003809975763860114,38
DIL Centrality,0.00019719223633442022,39
Density Centrality,0.00014052260955080097,40
Subgraph centrality,8.932887046087487e-05,41
K-Shell Value,9.529093479238715e-06,42
Node H-Index,1.430878463835343e-06,43
Global Relative Change in Avg Degree,6.303036782556756e-11,44
Degree Centrality,5.365709820798633e-11,45
DNC Scores,5.3657098207986316e-11,46
Constraint Coefficients,1.7286373856804787e-11,47
