Lambda,Kendall_Tau,P_Value
0.1627,0.35342359895086817,0.001055184085616854
0.1989,0.41895910074308207,0.00010322128744545278
0.235,0.44392523364485986,3.778518345683026e-05
0.2712,0.46144859813084116,1.8402123374859063e-05
0.3073,0.42823833121052446,6.910580489541801e-05
0.3435,0.3974369771885533,0.00021829011191517846
0.3796,0.44833632858314115,3.130587315795345e-05
0.4158,0.47257908485085126,1.1272594042534657e-05
0.4519,0.40303024701383444,0.00017624440599626215
0.4881,0.4472936845471457,3.143962939526119e-05
