feature,score,rank
H Values,0.0002288044601810313,1
Isolating Centrality,0.0005909218972021124,2
MCGM Values,0.0015673578366777186,3
Eigenvector Centrality,0.001683475433796544,4
Degree Centrality,0.0019168830381698365,5
Global Relative Change in Avg Degree,0.0021802954417472487,6
Local Gravity Model Centrality,0.0022858205404611143,7
HVGc Index,0.002288868270805433,8
LGC Scores,0.0023244239301426495,9
Subgraph centrality,0.0023801468941089254,10
Density Centrality,0.002672340842836074,11
Gravity Model Centrality,0.002716530725358157,12
Local-Global Centrality,0.002736184465823799,13
Laplacian Centrality,0.004096281407214519,14
Constraint Coefficients,0.004888186794729021,15
MDD Value,0.005678578837293724,16
Gravity Index Centrality,0.00584378418287268,17
EIGSM Values,0.005845697453020882,18
Coreness Centrality,0.005991561255879518,19
DNC Scores,0.006120225432654114,20
K-Shell Value,0.006656732984326452,21
Extended Improved Gravity Index Values,0.006781492611614315,22
Extended Coreness,0.00679981776308658,23
Improved Gravity Index Values,0.006814960410042814,24
Extended Degree,0.007477074060840638,25
Societal Capital Scores,0.008406415691978752,26
EHCC Value,0.008941408079164326,27
Semi local centrality,0.009058991691957896,28
Centrality Values,0.009200741731622553,29
DIL Centrality,0.009530737178718662,30
Clustered Local Degree,0.010178892775071224,31
PageRank Centrality,0.011194295870051607,32
PE Values,0.013858797564569203,33
CLC Values,0.01505626454104425,34
Clustering Coefficient,0.017404178372491752,35
HCC Value,0.01810948637627685,36
GGC Values,0.019375135354103512,37
I-GSM Values,0.02154931624548906,38
P Value,0.02889395284560381,39
H-GSM_1,0.02917875462909647,40
Volume Centrality,0.02933790771567457,41
Node H-Index,0.02933800335105896,42
GIN Values,0.030897936265089743,43
Leverage Centrality,0.031215739053116698,44
GSM,0.03256618676084766,45
Closeness Centrality,0.03743984098176423,46
Second order centrality,0.0412826511721196,47
Betweenness Centrality,0.042763292019149635,48
Eccentricity Centrality,0.06206689226941575,49
Global Relative Change in Avg Clustering,0.07788857248531533,50
