Node,Relative Closeness
2,0.3815930313570742
27,0.3815930313570742
24,0.6427623328950814
25,0.2841347756398358
29,0.29948329590777734
3,0.49379084577282695
4,0.2841347756398358
18,0.4574790098971191
20,0.25541883042420704
16,0.3834304120330176
17,0.4574790098971191
12,0.7184294343407076
13,0.6501295653538959
31,0.3613837550139432
32,0.3837578934593868
7,0.3837578934593868
8,0.6597648273735781
9,0.7310017656535281
5,0.27869925205651663
28,0.27869925205651663
30,0.30001544835186345
10,0.4379027361621894
21,0.7147667063317532
14,0.41955648087524966
1,0.25870866982271923
26,0.25870866982271923
19,0.25541883042420704
6,0.32879028037569685
23,0.25870866982271923
15,0.4132811531551139
22,0.4230027670665267
11,0.49797016854720166
