method,aves-weaver-03,aves-weaver-16,Bio. C elegans,econ-mahindas,econ-mbeacxc,enzymes-g10,enzymes-g102,enzymes-g296,fb-pages-food,inf-USAir97,insecta-ant,Jazz,mammalia,NCI1-g1918,NCI-g2455,power-494,power-662,power-685,power-1138,power-1176,reptilia,road-euroroad,rt-retweet,rt-twitter,soc-dolphins,Caltech36,Reed98,wiki-Vote,road-chesapeake
Proposed   ,0.976190476,0.953125,0.876379691,0.907790143,0.985626283,1,0.976190476,0.992,0.853225806,0.819277108,0.920731707,0.974747475,0.85182889,1,0.977777778,0.906882591,0.933534743,0.940145985,0.879613357,0.332197615,0.89516129,0.922,0.9375,0.67542707,1,0.948818898,0.953222453,0.911136108,0.974358974
D-TOPSIS        ,0.666666667,0.828125,0.832229581,0.99925,1,0.75,0.880952381,1,0.89516129,0.798192771,0.341463415,0.964646465,0.884066956,0.915662651,0.944444444,0.892712551,0.972809668,0.982481752,0.826889279,0.314310051,0.903225806,0.971126083,0.760416667,0.662286465,0.951612903,0.994750656,0.990644491,0.949381327,0.948717949
BC         ,0.404761905,0.453125,0.655629139,0.984101749,0.981519507,0.65626,0.857142857,0.968,0.624193548,0.551204819,0.335365854,0.893939394,0.603843769,0.626506024,0.411111111,0.528340081,0.835347432,0.906569343,0.516695958,0.177172061,0.504032258,0.719923003,0.322916667,0.310118265,0.870967742,0.909448819,0.93035343,0.726659168,0.948717949
CC         ,0.571428571,0.640625,0.549668874,0.719395866,0.492813142,0.71875,0.738095238,0.976,0.758064516,0.581325301,0.091463415,0.641414141,0.487290763,0.903614458,0.888888889,0.821862348,0.898791541,0.858394161,0.369068541,0.189948893,0.808467742,0.393647738,0.708333333,0.609724047,0.693548387,0.608923885,0.638253638,0.782902137,0.384615385
DC         ,0.30952381,0.21875,0.088300221,0.055643879,0.49486653,0.09375,0.095238095,0.04,0.066129032,0.174698795,0.091463415,0.313131313,0.021698698,0.048192771,0.033333333,0.018218623,0.013595166,0.017518248,0.012302285,0.036626917,0.032258065,0.008662175,0.09375,0.034165572,0.193548387,0.179790026,0.143451143,0.048368954,0.358974359
EC         ,0.666666667,0.84375,0.900662252,0.957869634,1,0.75,0.904761905,0.84,0.888709677,0.831325301,0.353658537,0.964646465,0.874147551,0.915662651,0.955555556,0.890688259,0.883685801,0.912408759,0.789982425,0.237649063,0.881048387,0.950914341,0.770833333,0.674113009,0.967741935,0.997375328,0.992723493,0.950506187,0.948717949
PR         ,0.666666667,0.84375,0.911699779,0.997615262,1,0.75,0.904761905,1,0.90483871,0.831325301,0.353658537,0.964646465,0.928084315,0.915662651,0.955555556,0.894736842,0.972809668,0.982481752,0.894551845,0.347529813,0.913306452,0.993262753,0.770833333,0.67674113,0.967741935,0.996062992,0.991683992,0.956130484,0.948717949
RD-TOPSIS      ,0.666666667,0.84375,0.922737307,1,1,0.75,0.904761905,1,0.90483871,0.831325301,0.353658537,0.964646465,0.928084315,0.915662651,0.955555556,0.894736842,0.972809668,0.982481752,0.894551845,0.347529813,0.913306452,0.993262753,0.770833333,0.67674113,0.967741935,0.997375328,0.992723493,0.956130484,0.948717949
WSM        ,0.666666667,0.828125,0.832229581,0.999205087,1,0.75,0.880952381,1,0.89516129,0.798192771,0.341463415,0.964646465,0.884066956,0.915662651,0.944444444,0.892712551,0.972809668,0.982481752,0.826889279,0.314310051,0.903225806,0.971126083,0.760416667,0.662286465,0.951612903,0.994750656,0.990644491,0.949381327,0.948717949
