feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.16059403792013327,0.061525435951415644,-0.19568084078103845,-0.003772197636386736,0.03974136901005931
Betweenness Centrality,0.09982841374957284,-0.08645869508809656,-0.08165867188895043,0.10306791177646984,-0.14795466210156272
Leverage Centrality,0.09984882692256669,0.04048752051720156,-0.389677748980626,-0.025439726666931617,0.09784785609478956
Isolating Centrality,0.059028102074216264,0.07956608603374996,-0.2751135884266478,0.026636964989165957,-0.1327516103496532
GSM,0.10803985635722234,-0.3270436717320225,0.038364098588034246,0.11804738752892406,0.07056539395530428
H-GSM_1,0.1083176431765129,-0.325825348599118,0.02341859163694511,0.12680087335461737,0.06832136108909004
Local-Global Centrality,0.16634731269390346,-0.014526788323148344,-0.13686831505963312,0.06339829877113438,0.030721368446896324
PageRank Centrality,0.14328490116771653,0.08877117783431614,-0.276208231599956,0.022148150801520446,0.02051112097406882
Coreness Centrality,0.16350896619309868,0.038464331635537384,-0.11647928622722786,-0.06741869930721821,0.07507598662728901
Extended Coreness,0.16195262855451034,-0.008804781895665388,0.08892339036640869,-0.15752495291250354,-0.08720939693158655
Global Relative Change in Avg Degree,0.15960486940090252,0.07730067379220534,-0.1809285958419494,0.03072549656790356,0.0338638269639407
Global Relative Change in Avg Clustering,0.08007093193011805,0.08668363683793152,0.06254487543174482,-0.18425781046883488,0.5530185201866314
Clustering Coefficient,0.028259263228484252,-0.009041535782462126,0.15777970859816406,-0.36797525438114165,0.46342960499707114
Clustered Local Degree,0.15158885301255232,-0.005827147045863144,0.13494033139624523,-0.22018682211682655,0.015600900050899305
DIL Centrality,0.1495813865050125,0.11628458831789724,-0.050571236001825864,0.19106446072396885,0.03109395397299736
I-GSM Values,0.1427094577402264,-0.2327399425806168,0.08995935629911524,0.028917386487307056,-0.06439688129655624
Gravity Index Centrality,0.16103516143040836,-0.007371783469277481,-0.00560480672996375,-0.15666089652651322,-0.02849958366142102
Gravity Model Centrality,0.16850503082434767,0.001465389123915195,-0.048148253363221025,0.09695422230835651,0.004982615869526747
Local Gravity Model Centrality,0.16357253931618018,0.11002156189472569,0.009603149138142884,0.09689641112553024,0.0348812604263581
Laplacian Centrality,0.17048545894666636,0.0817255120993561,-0.02042176501920786,0.027265706401146474,-0.00396502867360258
Closeness Centrality,0.07967581696781424,-0.3575216162070333,0.005384803627749701,0.1740969010999079,0.13594913632330033
Semi local centrality,0.15841929870283364,0.005193681410946892,0.1856976891649088,-0.0232497257851172,-0.14412962414653005
Eccentricity Centrality,0.05882107363569714,-0.3472435837876403,-0.015071081718248383,0.20414705767885136,0.18351592244806347
Density Centrality,0.16052791007505277,0.12047746611143502,-0.05043356757216264,0.13035150757228176,0.04215001469665186
MDD Value,0.16337365168655552,0.0398930399733677,-0.17359822479314513,-0.04377199547524488,0.03618344063427027
EHCC Value,0.1669496077910718,0.05469786001902075,0.08249011318685913,-0.045405434253322594,-0.013928983151887429
HCC Value,0.1455321517203394,-0.03031820649803456,0.1449583180232024,-0.22577848620348903,-0.15215972167421618
P Value,0.12634547621890083,-0.04501799584883328,0.18523196502194023,-0.26765904072564206,-0.1655756317537958
Extended Degree,0.17046189171686307,0.013654165218921849,0.008702332444120662,-0.08687966244798104,-0.08676209227023675
Eigenvector Centrality,0.07471781561284319,0.15868416152286088,0.2986236697454286,0.12670936600825766,0.046104493996853554
CLC Values,0.1576490106688339,0.008493200602500925,0.143253841008997,0.057601377379395864,-0.22080535072867732
Centrality Values,0.17025332483276523,0.04848588826237573,0.05367802016798927,0.05095932585355436,-0.01259561330326217
Constraint Coefficients,0.11800029171296586,-0.05719565772071832,-0.2720544678919363,-0.10423857825153385,-0.09074689189228274
HVGc Index,0.15451255722130067,0.12182974732304357,0.11102715511912217,0.14185486694532978,0.048661898991642666
PE Values,0.1702730741108804,0.03510063225580193,0.004686476430074495,0.06443466796580286,-0.05488179721550686
H Values,0.07665803965860293,0.1964628246166787,0.20469497451985463,0.2538414490785124,0.23101534311588898
Volume Centrality,0.15245491025798616,-0.08045335155408866,0.15257100557216424,-0.07014719758348671,-0.22734416491564596
GIN Values,0.10866553571153512,-0.3263889389620526,0.0508711674137145,0.11281577909364121,0.052424461589651125
LGC Scores,0.14822471128886175,0.13742225376594444,0.14042035615260573,0.1694324580674948,0.04670637567252769
DNC Scores,0.15991964629299263,0.07658602085217049,-0.1568384453031412,-0.046227649305969,0.1268564952079863
EIGSM Values,0.17016018825380505,-0.0414891365456777,-0.026766740507541197,0.0670077794200416,0.007182584055298821
Societal Capital Scores,0.16950958430375124,0.008743246972955266,0.028909541572305655,-0.09415151507078987,-0.09834675322734336
Improved Gravity Index Values,0.1604976366594613,-0.0424766503721525,0.08864395698603568,-0.15866603736018703,-0.12671942807220726
Extended Improved Gravity Index Values,0.16728733347284147,0.033390322160852116,0.0921549957546266,-0.015704807282500136,-0.002800439178439062
Node H-Index,0.13757495995641528,-0.08160675667015535,-0.12870896318363714,-0.18911894278213065,-0.017071802739172613
MCGM Values,0.13489385073667148,0.15893517974116392,0.18371398134157238,0.16184441023384544,0.09969357027806677
GGC Values,0.15705524312451533,0.08513461620780831,-0.02115864168932445,0.18353690900001243,-0.06321773447836179
Subgraph centrality,0.16225899075008093,0.12082867442919111,0.009536127266775985,0.009946514186617425,0.0955706880401678
Second order centrality,0.10492936884258221,-0.30937014053533274,0.003075521278819572,0.021024594290770023,0.11551371182352148
K-Shell Value,0.10480883113409464,-0.09856191794733701,-0.07944390308888782,-0.3086449479712192,0.09152544916340408
