feature,rank
Betweenness Centrality,1
Coreness Centrality,2
GSM,3
Local-Global Centrality,4
Laplacian Centrality,5
Isolating Centrality,6
Global Relative Change in Avg Degree,7
Extended Degree,8
PageRank Centrality,9
Node H-Index,10
Constraint Coefficients,11
Second order centrality,12
Leverage Centrality,13
Clustering Coefficient,14
Global Relative Change in Avg Clustering,15
P Value,16
HCC Value,17
Clustered Local Degree,18
Improved Gravity Index Values,19
GGC Values,20
Volume Centrality,21
DNC Scores,22
GIN Values,23
Extended Coreness,24
EHCC Value,25
I-GSM Values,26
DIL Centrality,27
Societal Capital Scores,28
H-GSM_1,29
MDD Value,30
K-Shell Value,31
Closeness Centrality,32
Gravity Index Centrality,33
Subgraph centrality,34
Eccentricity Centrality,35
Extended Improved Gravity Index Values,36
Semi local centrality,37
CLC Values,38
Centrality Values,39
EIGSM Values,40
Eigenvector Centrality,41
Degree Centrality,42
PE Values,43
Gravity Model Centrality,44
Density Centrality,45
Local Gravity Model Centrality,46
HVGc Index,47
LGC Scores,48
MCGM Values,49
H Values,50
