Lambda,Kendall Tau,p-value,beta_c,beta_min,beta_max
0.0071238309033087276,0.8117383364070226,2.3499388174925565e-308,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.008706904437377334,0.8089802135339278,4.3366841055723294e-307,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.01028997797144594,0.809592799198657,3.378327193755033e-308,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.011873051505514546,0.8078004882524529,2.8675281451662343e-307,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.013456125039583152,0.8075811401407966,2.283644468033204e-307,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.015039198573651758,0.8099912062159688,2.26806629381716e-309,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.016622272107720364,0.817042874131641,0.0,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.01820534564178897,0.8240180482873251,0.0,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.019788419175857577,0.8371355353116365,0.0,0.014247661806617455,0.0071238309033087276,0.021371492709926183
0.021371492709926183,0.834892071264099,0.0,0.014247661806617455,0.0071238309033087276,0.021371492709926183
