Lambda,Kendall_Tau,P_Value
0.1767,0.6255522910350354,1.3092651708944528e-217
0.2159,0.6108553058693997,4.447700546751142e-208
0.2552,0.5830599559304696,4.997333238411244e-190
0.2945,0.5591091509122309,4.3730741083817597e-175
0.3337,0.5328202270464154,2.5775282062437776e-159
0.373,0.4992683613286505,3.3767414043612635e-140
0.4123,0.4754482603392635,2.307945604344912e-127
0.4515,0.46784337600082887,2.0526937401095273e-123
0.4908,0.4526667260123366,1.1123595988047068e-115
0.5301,0.44369008616383543,3.1516061089064055e-111
