Lambda,Kendall_Tau,P_Value
0.1967,0.7480488271204966,4.7161974148423835e-181
0.2404,0.7447975105848511,6.29890411084111e-180
0.2841,0.7233040917119035,4.670936708587067e-170
0.3278,0.6862516581347345,1.921303606187346e-153
0.3715,0.640968394799565,3.1130422556805883e-134
0.4153,0.6013210316043642,1.9881243767247388e-118
0.459,0.5720346969632758,2.1972212853310514e-107
0.5027,0.524758472543379,1.0482774431760238e-90
0.5464,0.53745731808279,4.641809006481916e-95
0.5901,0.5494316131041701,2.908083732957125e-99
