Lambda,Kendall_Tau,P_Value
0.2252,0.6542408954417765,4.580578123863715e-104
0.2753,0.6452201512353128,1.7878129877013225e-101
0.3253,0.6204412639823436,4.291984688636729e-94
0.3754,0.604847210745588,1.287643657094197e-89
0.4254,0.5681576413173808,2.401147291487446e-79
0.4754,0.5529654401735385,2.745507117680365e-75
0.5255,0.5324789001212823,5.768264790033152e-70
0.5755,0.5319372753185435,7.82421427205585e-70
0.6256,0.5188924655831763,1.5170757673524956e-66
0.6756,0.5276115625549375,9.618565133273706e-69
