Lambda,Kendall Tau,p-value,beta_c,beta_min,beta_max
0.19669995657837602,0.7100850021504537,2.5292707710707862e-163,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.24041105804023735,0.7493569571305043,4.359875853061181e-182,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.2841221595020987,0.7837590654874291,2.762608749292441e-199,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.32783326096396004,0.8052881527720515,1.7408307930119592e-210,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.37154436242582134,0.8032355943394259,1.3199744424352352e-209,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.4152554638876827,0.7710915832313396,2.0723043149668326e-193,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.45896656534954405,0.7305489787792004,7.375184654387556e-174,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.5026776668114054,0.6867658523257774,6.18379514075598e-154,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.5463887682732667,0.6863645930580715,9.143934004110128e-154,0.39339991315675205,0.19669995657837602,0.5900998697351281
0.5900998697351281,0.6895850310793235,3.3326722532322528e-155,0.39339991315675205,0.19669995657837602,0.5900998697351281
