Node,Score,Rank
666,0.245072785,1.0
166,0.225466417,2.0
125,0.197686681,3.0
126,0.191450302,4.0
77,0.179900644,5.0
657,0.172291274,6.0
139,0.162619578,7.0
20,0.162062467,8.0
336,0.161927986,9.0
24,0.151159573,10.0
148,0.148277055,11.0
15,0.138254367,12.0
23,0.134542986,13.0
104,0.129545035,14.0
184,0.128109529,15.0
152,0.125344503,16.0
627,0.12230438,17.0
107,0.120992294,18.0
145,0.117692498,19.0
195,0.115669387,20.0
123,0.107997058,21.0
337,0.105762216,22.0
120,0.105560995,23.0
187,0.105375264,24.0
48,0.104031765,25.0
226,0.101886075,26.0
281,0.101090885,27.0
345,0.098562129,28.0
128,0.098425597,29.0
109,0.092784618,30.0
561,0.091008124,31.0
159,0.087591533,32.0
357,0.083339527,33.0
140,0.082855381,34.0
607,0.081553545,35.0
242,0.08146156,36.0
277,0.0810906,37.0
175,0.07916548,38.0
165,0.077234254,39.0
52,0.076216318,40.0
130,0.075699003,41.0
702,0.073758263,42.0
239,0.072474721,43.0
127,0.071217456,44.0
136,0.070940124,45.0
625,0.069619012,46.0
237,0.069160073,47.0
238,0.067954363,48.0
834,0.067463969,49.0
18,0.067143581,50.0
142,0.065969209,51.0
280,0.064228614,52.0
143,0.059984117,53.0
12,0.059252895,54.0
658,0.058522951,55.0
362,0.056822428,56.0
39,0.054669667,57.0
241,0.051989891,58.0
282,0.051181909,59.0
692,0.050328965,60.0
214,0.050195432,61.0
824,0.049441205,62.0
687,0.049356396,63.0
284,0.049072961,64.0
416,0.049061634,65.0
569,0.048970443,66.0
115,0.048957318,67.0
17,0.047484651,68.0
529,0.046892323,69.0
624,0.046821909,70.0
161,0.04552615,71.0
99,0.045478985,72.0
659,0.045276194,73.0
190,0.044839085,74.0
660,0.043252605,75.0
701,0.04324343,76.0
667,0.042043584,77.0
623,0.041957131,78.0
786,0.041751521,79.0
198,0.040227631,80.0
669,0.039570889,81.0
682,0.037895744,82.0
204,0.037678423,83.0
135,0.037390041,84.0
132,0.037350084,85.0
87,0.0372776,86.0
596,0.037142994,87.0
95,0.036749774,88.0
149,0.036258129,89.0
154,0.036214139,90.0
771,0.036055338,91.0
80,0.034673031,92.0
83,0.034557212,93.0
411,0.033887902,94.0
678,0.03385745,95.0
408,0.033246158,96.0
350,0.032602679,97.0
822,0.031725214,98.0
557,0.031156987,99.0
224,0.030809883,100.0
197,0.030089331,101.0
298,0.029587313,102.0
62,0.029560778,103.0
710,0.029337723,104.0
674,0.028614918,105.0
81,0.028279053,106.0
344,0.028255443,107.0
1014,0.027917911,108.0
170,0.02782247,109.0
691,0.027700644,110.0
412,0.026597997,111.0
322,0.026535259,112.0
102,0.026150684,113.0
85,0.02611668,114.0
66,0.025915322,115.0
37,0.025887177,116.0
201,0.025608569,117.0
605,0.025414276,118.0
326,0.025409293,119.0
456,0.025333208,120.0
90,0.025261857,121.0
555,0.025244054,122.0
458,0.024939126,123.0
530,0.024754929,124.0
363,0.024437301,125.0
730,0.024100443,126.0
167,0.023735781,127.0
343,0.023439275,128.0
311,0.023433564,129.0
124,0.022649159,130.0
323,0.0225937,131.0
706,0.022177598,132.0
160,0.02208239,133.0
717,0.021878496,134.0
151,0.021708033,135.0
734,0.021548108,136.0
709,0.021435343,137.0
662,0.021342223,138.0
211,0.021254776,139.0
210,0.021254776,139.0
390,0.021149215,140.0
688,0.021100421,141.0
987,0.020902108,142.0
320,0.02080045,143.0
131,0.020596248,144.0
785,0.02058564,145.0
229,0.02035657,146.0
310,0.020027433,147.0
356,0.019194322,148.0
325,0.019145661,149.0
705,0.01898341,150.0
188,0.018596123,151.0
275,0.018503573,152.0
97,0.018257309,153.0
119,0.018253654,154.0
367,0.017464727,155.0
235,0.017463695,156.0
781,0.017459279,157.0
100,0.017008354,158.0
91,0.016931387,159.0
276,0.016921853,160.0
173,0.016888999,161.0
63,0.016834558,162.0
351,0.016705838,163.0
168,0.016529968,164.0
181,0.016513531,165.0
549,0.016429967,166.0
144,0.016418687,167.0
735,0.016087979,168.0
319,0.015911764,169.0
522,0.015784861,170.0
954,0.015719648,171.0
252,0.015357718,172.0
121,0.015206757,173.0
38,0.015167999,174.0
264,0.01495913,175.0
542,0.014795859,176.0
117,0.014775003,177.0
353,0.014617166,178.0
30,0.014495408,179.0
825,0.014475223,180.0
681,0.014457656,181.0
708,0.014341234,182.0
696,0.01433147,183.0
380,0.014234883,184.0
959,0.014017925,185.0
1007,0.014003989,186.0
312,0.014003484,187.0
156,0.013996247,188.0
507,0.013986182,189.0
839,0.013985408,190.0
11,0.013865696,191.0
31,0.01371977,192.0
279,0.01360899,193.0
1084,0.013567121,194.0
744,0.013136034,195.0
53,0.013036283,196.0
250,0.013030335,197.0
249,0.013030335,197.0
317,0.012988374,198.0
856,0.012818915,199.0
352,0.012754407,200.0
425,0.012751563,201.0
111,0.012719702,202.0
307,0.012516169,203.0
698,0.012406631,204.0
370,0.012272846,205.0
358,0.012265103,206.0
155,0.012265103,206.0
868,0.012257361,207.0
64,0.012095086,208.0
321,0.012093467,209.0
686,0.01200349,210.0
340,0.011860463,211.0
891,0.011851415,212.0
13,0.011788515,213.0
261,0.011787245,214.0
192,0.011554122,215.0
648,0.011458268,216.0
751,0.011385939,217.0
742,0.011363165,218.0
260,0.011273746,219.0
177,0.011220843,220.0
219,0.011171914,221.0
609,0.011115178,222.0
328,0.011082031,223.0
663,0.01089076,224.0
1086,0.010889992,225.0
259,0.010857568,226.0
366,0.010679771,227.0
365,0.010679771,227.0
584,0.010546657,228.0
899,0.010521573,229.0
354,0.010510734,230.0
620,0.010435427,231.0
183,0.010427556,232.0
707,0.010236583,233.0
1088,0.010171072,234.0
540,0.009993932,235.0
384,0.009880357,236.0
579,0.009837464,237.0
364,0.009801037,238.0
305,0.00942252,239.0
436,0.009361818,240.0
1044,0.009325628,241.0
595,0.009231966,242.0
756,0.008906472,243.0
274,0.008904305,244.0
89,0.008780591,245.0
501,0.008777268,246.0
882,0.008776494,247.0
890,0.008774945,248.0
355,0.008773397,249.0
876,0.0087703,250.0
1004,0.0087703,250.0
864,0.008764106,251.0
36,0.008764106,251.0
47,0.008764106,251.0
398,0.008757895,252.0
105,0.008634111,253.0
635,0.00857873,254.0
712,0.008508537,255.0
438,0.008427094,256.0
463,0.008392843,257.0
534,0.008335565,258.0
414,0.008122367,259.0
222,0.008032345,260.0
106,0.007942959,261.0
397,0.007883211,262.0
51,0.0077098,263.0
722,0.007626641,264.0
636,0.007614226,265.0
32,0.007454416,266.0
802,0.007450018,267.0
726,0.007428006,268.0
221,0.00719691,269.0
836,0.007058138,270.0
57,0.007026769,271.0
67,0.007026769,271.0
74,0.007025221,272.0
640,0.007025221,272.0
1127,0.007022124,273.0
793,0.007022124,273.0
866,0.007022124,273.0
1018,0.007017479,274.0
360,0.007017479,274.0
819,0.007005594,275.0
814,0.006856771,276.0
906,0.006820491,277.0
614,0.006793203,278.0
478,0.006763009,279.0
861,0.006638706,280.0
519,0.006635569,281.0
775,0.006634409,282.0
258,0.006523423,283.0
257,0.006523423,283.0
631,0.006431918,284.0
559,0.006418751,285.0
993,0.006414149,286.0
150,0.006403611,287.0
333,0.006320851,288.0
332,0.006320851,288.0
93,0.006191816,289.0
208,0.006189225,290.0
511,0.006144165,291.0
232,0.0061421,292.0
835,0.005961731,293.0
788,0.005951841,294.0
10,0.005885688,295.0
1056,0.00584476,296.0
765,0.005839663,297.0
774,0.005828735,298.0
253,0.005775113,299.0
65,0.005773823,300.0
162,0.005702026,301.0
750,0.005694913,302.0
808,0.005618539,303.0
383,0.005579017,304.0
637,0.005538426,305.0
646,0.005525977,306.0
429,0.005520208,307.0
615,0.005520152,308.0
532,0.005518725,309.0
664,0.005503806,310.0
768,0.005482634,311.0
199,0.005403688,312.0
855,0.005401492,313.0
1072,0.005357171,314.0
406,0.005301138,315.0
8,0.005286655,316.0
994,0.005273948,317.0
27,0.0052724,318.0
969,0.005270851,319.0
807,0.005270851,319.0
777,0.005270851,319.0
1006,0.005270851,319.0
713,0.005267754,320.0
838,0.005267754,320.0
604,0.005267754,320.0
877,0.005267754,320.0
82,0.005267754,320.0
419,0.005267754,320.0
477,0.005267754,320.0
748,0.005262207,321.0
327,0.00510904,322.0
444,0.005099779,323.0
821,0.005083798,324.0
382,0.00505034,325.0
675,0.005034294,326.0
415,0.004978207,327.0
3,0.004945636,328.0
978,0.004914569,329.0
645,0.00481554,330.0
437,0.00477593,331.0
843,0.0047158,332.0
147,0.004611109,333.0
110,0.004598615,334.0
196,0.004433881,335.0
245,0.004394441,336.0
593,0.004378956,337.0
590,0.004378956,337.0
430,0.004342315,338.0
779,0.004337967,339.0
169,0.004308821,340.0
189,0.004306517,341.0
227,0.004216371,342.0
816,0.00416332,343.0
263,0.004052418,344.0
431,0.003920084,345.0
723,0.003912046,346.0
714,0.003886631,347.0
673,0.00384947,348.0
626,0.003847472,349.0
697,0.003823833,350.0
79,0.003779133,351.0
946,0.003704357,352.0
14,0.00368669,353.0
912,0.003589538,354.0
1089,0.003540058,355.0
790,0.003522675,356.0
592,0.003519578,357.0
755,0.003517643,358.0
418,0.003516481,359.0
