Node,Relative Closeness
1,0.7786705669996169
2,0.05425114921964144
3,0.7799010001203631
4,0.7646348305797785
5,0.7783216325484131
6,0.054147688152622137
7,0.7796654472031779
8,0.7642767797332424
9,0.7593831456022664
10,0.0518298854283736
11,0.7061399516015756
12,0.784340980522899
13,0.7591663085670608
14,0.051794670166556644
15,0.7059666434497798
16,0.7841308527501677
17,0.5924338663864998
18,0.010888392787023759
19,0.010888392787023759
20,0.5921565674435304
21,0.010821479010810682
22,0.010821479010810682
23,0.7324384647327039
24,0.4691245780182475
25,0.7858913007183371
26,0.050549847426920376
27,0.725855900611058
28,0.048777227159647774
29,0.778427890965779
30,0.7317031178104446
31,0.46872434969836335
32,0.7851123784035743
33,0.05027318243291025
34,0.7254337891685702
35,0.04866127711799505
36,0.7781331509298451
37,0.7337427906907412
38,0.051066240654563375
39,0.479852746725059
40,0.7330309429422014
41,0.050777155177306334
42,0.47944964110213806
43,0.7083214701816503
44,0.04711521348473085
45,0.7608556667860904
46,0.46218967816293843
47,0.7080883598125967
48,0.04708197456058702
49,0.7605520584601366
50,0.46207003423552123
51,0.8127692911005736
52,0.5142449322885725
53,0.8188782135167636
54,0.7764781183562921
55,0.8046579379534071
56,0.8058911059341516
57,0.7164389697592806
58,0.7596474407828039
59,0.053606580397125715
60,0.4981838725275365
61,0.8241746099962775
62,0.7510621022444434
63,0.052103659892145
64,0.496658453274286
65,0.8024670939292012
66,0.7626525808885443
67,0.05284335271275627
68,0.7865060673697436
69,0.43625610835773837
70,0.4371887843126099
71,0.39758096299551515
72,0.436138131109714
73,0.4370487452784608
74,0.39747261365002196
75,0.046786981543138664
76,0.04677018512888917
77,0.594363142028226
78,0.052410918445553234
79,0.5941389362407212
80,0.05234814295785267
81,0.5192039481337468
82,0.05548437276164222
83,0.011542056947358565
84,0.011542056947358565
85,0.011537869894995622
86,0.011537869894995622
87,0.4493886686333103
88,0.4321399517056572
89,0.053563608715499596
90,0.04739553342077769
