feature,rank
HCC Value,1
H-GSM_1,2
Closeness Centrality,3
PageRank Centrality,4
Global Relative Change in Avg Degree,5
Gravity Index Centrality,6
Local-Global Centrality,7
Improved Gravity Index Values,8
EHCC Value,9
Coreness Centrality,10
Semi local centrality,11
Gravity Model Centrality,12
H Values,13
I-GSM Values,14
Constraint Coefficients,15
DIL Centrality,16
HVGc Index,17
Second order centrality,18
Volume Centrality,19
GGC Values,20
Eigenvector Centrality,21
MCGM Values,22
GSM,23
Extended Improved Gravity Index Values,24
Centrality Values,25
Leverage Centrality,26
MDD Value,27
K-Shell Value,28
Clustered Local Degree,29
Node H-Index,30
P Value,31
LGC Scores,32
Betweenness Centrality,33
Local Gravity Model Centrality,34
Isolating Centrality,35
Eccentricity Centrality,36
Global Relative Change in Avg Clustering,37
Clustering Coefficient,38
Extended Coreness,39
EIGSM Values,40
Subgraph centrality,41
Societal Capital Scores,42
GIN Values,43
DNC Scores,44
Density Centrality,45
PE Values,46
CLC Values,47
Extended Degree,48
Laplacian Centrality,49
Degree Centrality,50
