Lambda,Kendall Tau,p-value,beta_c,beta_min,beta_max
0.13886481802426345,0.7599748243843643,2.6734814789454335e-193,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.16972366647409978,0.7778115351425556,7.36545538318377e-203,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.2005825149239361,0.7810272829410975,7.731377742712963e-205,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.23144136337377244,0.7661464360903935,2.5280579532719357e-197,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.26230021182360874,0.753169882826788,6.892765156728654e-191,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.29315906027344507,0.7370696458902708,5.5987851232084005e-183,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.3240179087232814,0.6991858959112014,6.468334215735424e-165,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.35487675717311773,0.6691488913336289,3.0209338279929965e-151,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.38573560562295406,0.6298239699509475,3.023176784098963e-134,0.2777296360485269,0.13886481802426345,0.4165944540727904
0.4165944540727904,0.5884000427422544,2.0049486176470647e-117,0.2777296360485269,0.13886481802426345,0.4165944540727904
