Lambda,Kendall Tau,p-value,beta_c,beta_min,beta_max
0.06740289413556741,0.7437138746372243,5.0409541248127186e-18,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.08238131505458239,0.8085533585931571,4.420920467581419e-21,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.09735973597359737,0.8119412028755347,3.162995416851428e-21,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.11233815689261234,0.8703427719821162,3.2648424564904647e-24,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.12731657781162734,0.8842523596621957,6.111193343149535e-25,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.1422949987306423,0.8949068599176536,1.7064333455240717e-25,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.1572734196496573,0.866086983251788,5.554209883772344e-24,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.17225184056867227,0.843229839689205,8.121976733341074e-23,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.18723026148768723,0.8520358547806747,2.7185322002740387e-23,0.13480578827113482,0.06740289413556741,0.20220868240670223
0.20220868240670223,0.8242304888903963,6.708553550699847e-22,0.13480578827113482,0.06740289413556741,0.20220868240670223
