Lambda,Kendall_Tau,P_Value
0.1389,0.49555261961013247,2.4666741130429632e-83
0.1697,0.47857620322904726,4.956162753595338e-78
0.2006,0.44173193332788874,7.419642368567704e-67
0.2314,0.40921454132431634,1.127324315881015e-57
0.2623,0.3793416550198688,7.605540003415064e-50
0.2932,0.36690543635058287,9.16748044548999e-47
0.324,0.33630594610538816,1.393725033664927e-39
0.3549,0.316684746893223,2.6786570634988373e-35
0.3857,0.3004832746052832,5.924023736610813e-32
0.4166,0.2823258205057039,2.0941443058633577e-28
