Node,Relative Closeness,Rank
15,0.7975193951862085,1.0
7,0.785283632283979,2.0
21,0.7700830472524416,3.0
13,0.7442803464101446,4.0
9,0.6831730948741085,5.0
27,0.6786369948566728,6.0
4,0.6570249964104147,7.0
49,0.6551066828977655,8.0
25,0.6271069128737986,9.0
18,0.6195594124595396,10.0
20,0.5992758874855837,11.0
16,0.588187634046117,12.0
17,0.5640495450423494,13.0
11,0.5593425109690505,14.0
52,0.5587381410830313,15.0
30,0.556897186316005,16.0
8,0.547586861819159,17.0
12,0.5474225437794392,18.0
43,0.5188546989807599,19.0
38,0.4979556721594464,20.0
2,0.4933646589342127,21.0
29,0.4924183181448333,22.0
33,0.4708925521757943,23.0
42,0.4705922826139684,24.0
6,0.4469200787248807,25.0
23,0.4394753672036586,26.0
14,0.4370081304235246,27.0
28,0.4367686529912376,28.0
19,0.4349061083825067,29.0
5,0.4280645300947379,30.0
24,0.4152285385516177,31.0
32,0.4077307407797074,32.0
31,0.3872185454628956,33.0
1,0.3828449280413847,34.0
36,0.382248552360573,35.0
41,0.3762580299962449,36.0
26,0.3718909742785533,37.0
44,0.3465805007452717,38.0
39,0.3465372078911888,39.0
46,0.3293703814340206,40.0
10,0.3041264633659182,41.0
45,0.2773848408018493,42.0
3,0.2710778827857639,43.0
40,0.2646573248793069,44.0
47,0.2573348688329115,45.0
53,0.2558853099101521,46.0
35,0.2544819258784057,47.0
22,0.205164143340614,48.0
54,0.1950060750666527,49.0
48,0.1686916063280545,50.0
55,0.1674259028047759,51.0
62,0.1632537931230845,52.0
59,0.1559823880564901,53.0
60,0.1548511923072493,54.0
58,0.1261366124225448,55.0
50,0.1253628445647077,56.0
51,0.1253628445647077,56.0
61,0.1203709169046348,57.0
57,0.1133379272849184,58.0
34,0.1085108839977816,59.0
37,0.1085108839977816,59.0
56,0.1074390212218699,60.0
