Lambda,Kendall Tau,p-value,beta_c,beta_min,beta_max
0.05259515570934256,0.8097732609285417,4.552429222788528e-14,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.06428296808919647,0.8253789062051916,1.5202720710447018e-14,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.07597078046905037,0.8466508285349967,3.5045297143192898e-15,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.08765859284890426,0.8509900993455501,2.3000529957966066e-15,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.09934640522875818,0.8865621046372828,1.4622905995279016e-16,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.11103421760861207,0.8848837209302326,1.6076914663987446e-16,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.12272202998846597,0.8576410512315016,1.2598181808182875e-15,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.13440984236831988,0.8360465116279071,6.543779630005632e-15,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.14609765474817377,0.8343987463200787,7.155496173379443e-15,0.10519031141868512,0.05259515570934256,0.15778546712802768
0.15778546712802768,0.808139534883721,4.963708037718539e-14,0.10519031141868512,0.05259515570934256,0.15778546712802768
