feature,rank
Gravity Index Centrality,1
Local Gravity Model Centrality,2
Degree Centrality,3
Global Relative Change in Avg Degree,4
Coreness Centrality,5
PE Values,6
PageRank Centrality,7
Leverage Centrality,8
H-GSM_1,9
Extended Improved Gravity Index Values,10
I-GSM Values,11
Betweenness Centrality,12
MDD Value,13
Clustered Local Degree,14
Node H-Index,15
Isolating Centrality,16
Eccentricity Centrality,17
Clustering Coefficient,18
Global Relative Change in Avg Clustering,19
Constraint Coefficients,20
Closeness Centrality,21
Eigenvector Centrality,22
H Values,23
Centrality Values,24
GGC Values,25
Second order centrality,26
MCGM Values,27
HVGc Index,28
P Value,29
GSM,30
EHCC Value,31
HCC Value,32
DNC Scores,33
GIN Values,34
Subgraph centrality,35
EIGSM Values,36
Semi local centrality,37
LGC Scores,38
Extended Coreness,39
DIL Centrality,40
CLC Values,41
Volume Centrality,42
Gravity Model Centrality,43
Societal Capital Scores,44
Laplacian Centrality,45
Improved Gravity Index Values,46
Extended Degree,47
Density Centrality,48
Local-Global Centrality,49
