Node,Relative Closeness
1,0.18107785305714028
2,0.18107785305714028
3,0.19564327741868096
4,0.3998450693354424
5,0.21702556665145759
6,0.4919538340375869
7,0.17040923485763299
8,0.17040923485763299
9,0.17927554194020148
10,0.17927554194020148
11,0.23682646564653706
12,0.1314435232894435
13,0.17040923485763299
14,0.17040923485763299
15,0.08740315577091957
16,0.16821002567216645
17,0.17040923485763299
18,0.17040923485763299
19,0.16388979034570292
20,0.16442723871541348
21,0.16821002567216645
22,0.16388979034570292
23,0.3868892668584443
24,0.566089862744072
25,0.5309447879564365
26,0.7995910864449638
27,0.4574155268878151
28,0.5623095770166912
29,0.5116256086324871
30,0.3722791285372622
31,0.12107401952007565
32,0.05882256688675191
33,0.1912596566109273
34,0.14611555407996166
35,0.18890079978521776
36,0.20459025942644116
37,0.12006166362533224
38,0.2874600155411316
39,0.18378300501146802
40,0.19327900519471333
41,0.22565291853052738
42,0.2130076908054255
43,0.22589023330577904
44,0.23164184614480013
45,0.21819662431446968
46,0.21364885846454965
47,0.23210231116613944
48,0.28171534149924315
49,0.20919883185819993
50,0.4256319090104703
51,0.473469146826139
52,0.3721352853363029
53,0.459747732168207
54,0.29056353533248636
55,0.5069791461350822
56,0.4581143195531669
57,0.6087224478348641
58,0.5698708325820965
59,0.3221386216878829
60,0.42837326413035887
61,0.4978731996229369
62,0.45431230760210806
63,0.6294192220378103
64,0.3450571722019998
65,0.3283323600480366
66,0.35466474773294016
67,0.4709216656803794
68,0.5784489261116917
69,0.44544449352705806
70,0.31366860013808123
71,0.3580371744642623
72,0.35209954051669146
73,0.6424707439105298
74,0.5000067789624847
75,0.7701912005405745
76,0.4158470958372409
77,0.5001831887406772
78,0.46020875975614806
79,0.24111598444819504
80,0.16201742199962801
81,0.16201742199962801
82,0.16199457480319487
83,0.16199457480319487
84,0.04178843879604792
85,0.04178843879604792
86,0.16267525521962634
87,0.04178843879604792
88,0.16267525521962634
89,0.16267525521962634
90,0.04178843879604792
91,0.1858412844744313
92,0.1787934213123785
93,0.16735994573908303
94,0.20562356375883192
95,0.19221692241234173
96,0.20573666753226122
97,0.21782285295643036
98,0.13693005707927577
99,0.13693005707927577
100,0.23939100756651244
101,0.24878691014330545
102,0.2436042668601045
103,0.13693005707927577
104,0.22709270993367167
105,0.24878691014330545
106,0.24680733691310053
107,0.2472735654262209
