feature,score,rank
Eccentricity Centrality,0.06082406608392252,1
Global Relative Change in Avg Clustering,0.045180128840051285,2
Closeness Centrality,0.036439344471769185,3
Second order centrality,0.03460953152557142,4
Leverage Centrality,0.031111808620239132,5
P Value,0.030727077298501222,6
GSM,0.030714398650899182,7
GIN Values,0.029256737075285415,8
H-GSM_1,0.02786784215840639,9
Betweenness Centrality,0.02689867569205626,10
Node H-Index,0.021802729606748523,11
Volume Centrality,0.02088836720277786,12
HCC Value,0.01882336369488259,13
I-GSM Values,0.01813171193712797,14
CLC Values,0.010208122500231464,15
GGC Values,0.009965962827732353,16
PE Values,0.00973578829549845,17
Clustering Coefficient,0.008836955707647923,18
PageRank Centrality,0.00797286160298455,19
EHCC Value,0.0074580026750173485,20
Centrality Values,0.006284087837904906,21
K-Shell Value,0.006102063695904313,22
Societal Capital Scores,0.005854639331508102,23
Semi local centrality,0.005625563191933909,24
Extended Degree,0.0052203777643786385,25
Clustered Local Degree,0.0052041408090612645,26
Coreness Centrality,0.00441245599260184,27
Extended Coreness,0.00418589709075676,28
MDD Value,0.0040608162712606035,29
Improved Gravity Index Values,0.00403393278371927,30
Extended Improved Gravity Index Values,0.0040212848179751745,31
EIGSM Values,0.003928317481912643,32
Gravity Index Centrality,0.0035895043901046086,33
DIL Centrality,0.003240182760374689,34
Constraint Coefficients,0.003091465002066962,35
DNC Scores,0.002749909071827506,36
Laplacian Centrality,0.00267861441051319,37
Local-Global Centrality,0.0018330236767099951,38
Gravity Model Centrality,0.001592571914793229,39
Global Relative Change in Avg Degree,0.0013615776209826911,40
Density Centrality,0.0013038904924941197,41
Degree Centrality,0.0012305878283540587,42
Local Gravity Model Centrality,0.0009970579168090878,43
LGC Scores,0.0007870252811312246,44
MCGM Values,0.000736699944874195,45
HVGc Index,0.0006869963960295795,46
Subgraph centrality,0.0005699469318519675,47
Eigenvector Centrality,0.00020087066619307482,48
H Values,1.849685550543154e-05,49
Isolating Centrality,9.430213719354157e-06,50
